Cod_Loc,IdProvincia,IdDepartamento,Observaciones,categoria,subcategoria,provincia,localidad,nombre,direccion,piso,CP,cod_area,telefono,Mail,Web,Latitud,Longitud,TipoLatitudLongitud,Info_adicional,fuente,jurisdiccion,año_inauguracion,actualizacion,gmap_url,categoria_antig
06588100,06,06588,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,9 de Julio,Archivo Y Museo Histórico Gral. Julio De Vedia,Libertad 1191,NA,B6500EVL,2317,425 279,archivoymuseo@yahoo.com.ar,www.portaldel9.com.ar,-35.441762,-60.887598,Localización precisa,NA,DNPyM,Municipal,1920,2017,"https://www.google.com/maps?q=-35.441762,-60.887598",1900-1939
06077010,06,06077,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Arrecifes,Museo Y Archivo Histórico De Arrecifes,Gerardo Risso y España,NA,B2740FMJ,2478,452 931,museoarrecifes@hotmail.com,NA,-34.06697,-60.102555,Localización precisa,NA,DNPyM,Municipal,1972,2017,"https://www.google.com/maps?q=-34.06697,-60.102555",1940-1979
06035010,06,06035,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Avellaneda,Museo Histórico-Sacro  Hno. Rogelio Scortegagna,Calle 11 (Av. San Martín) Nº 830,NA,S3561AKT,3482,481 200,NA,NA,-29.118024,-59.654543,Localización precisa,NA,DNPyM,Municipal,NA,2017,"https://www.google.com/maps?q=-29.118024,-59.654543",sin datos
06035010,06,06035,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Avellaneda,Museo Municipal De Artes Plásticas De Avellaneda,"Sarmiento 101, 1 º Piso",NA,B1870CBC,11,4205 9567,NA,NA,-34.66211,-58.36327,Localización precisa,NA,DNPyM,Municipal,1956,2017,"https://www.google.com/maps?q=-34.66211,-58.36327",1940-1979
06049020,06,06049,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Azul,Museo Etnográfico Y Archivo Histórico Enrique Squirru,Bartolomé J. Ronco 654,NA,B7300XAA,2281,434 811,museoazul@yahoo.com,NA,-36.781824,-59.858636,Localización precisa,NA,DNPyM,Privada,1949,2017,"https://www.google.com/maps?q=-36.781824,-59.858636",1940-1979
06056010,06,06056,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo De Bellas Artes,Sarmiento 450,NA,B8000HQJ,291,459 4006,mac@bblanca.com.ar,NA,-38.7131,-62.2622,Localización precisa,NA,DNPyM,Municipal,1935,2017,"https://www.google.com/maps?q=-38.7131,-62.2622",1900-1939
06056010,06,06056,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo De Ciencias,Castelli 3702,NA,B8003APV,291,488 3266,NA,NA,-38.6928,-62.3087,Localización precisa,NA,DNPyM,Municipal,1996,2017,"https://www.google.com/maps?q=-38.6928,-62.3087",1989-2019
06056010,06,06056,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo Y Parque Estereoscópico El Histórico Café Museo,Italia 19,NA,B8000DKA,291,451 0675,NA,NA,-38.724527,-62.273735,Localización precisa,NA,DNPyM,Privada,2006,2017,"https://www.google.com/maps?q=-38.724527,-62.273735",1989-2019
06056010,06,06056,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo De Arte Contemporáneo,Sarmiento 450,NA,B8000HQJ,291,459 4006,mac@bblanca.com.ar,NA,-38.7131,-62.2622,Localización precisa,NA,DNPyM,Municipal,2008,2017,"https://www.google.com/maps?q=-38.7131,-62.2622",1989-2019
06056010,06,06056,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo Y Archivo Histórico Municipal,Dorrego 116 Sub Suelo,NA,B8000FLD,291,456 3117,NA,NA,-38.7152,-62.2603,Localización precisa,NA,DNPyM,Municipal,1951,2017,"https://www.google.com/maps?q=-38.7152,-62.2603",1940-1979
